days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse
   205.000000     ,           7 ,          24 ,           1 ,  0.252999991     ,   1.10597839E-03 ,   32.5500031     ,  0.245025635     ,   33.6107101     ,   25.8328667     ,   92.2386017     ,   30.3496628     ,   8.66699219E-03 ,   0.00000000     ,   0.00000000     ,   30.3583298     ,  0.189556971     ,   1.44008553     ,  -2.20034027     , -0.236358643     ,  -33.6107101     ,  -25.8328667     ,  -61.8802719     ,   85.2580338     ,   54.2500000     ,   0.00000000     ,   54.2500000     ,   0.00000000     ,   33.7218475     ,  0.449674845     ,  0.607671797     ,   1.21128869     ,   5.79209661    
   205.041672     ,           7 ,          24 ,           2 ,  0.252999991     ,   2.07945774E-03 ,   15.5640011     , -0.637481689     ,   37.5698853     ,   28.6917725     ,   81.1881790     ,   14.5305033     ,  -2.30102539E-02 ,   0.00000000     ,   0.00000000     ,   14.5074930     ,  0.191166878     ,   1.42018652     ,  -1.03349781     ,  0.614471436     ,  -37.5698853     ,  -28.6917725     ,  -66.6806870     ,   84.4585037     ,   25.9400005     ,   6.15674742E-02 ,   25.8784332     ,   2.92508919E-02 ,   16.1157532     ,  0.475102991     ,  0.608618915     ,   1.30978596     ,   5.82499743    
   205.083328     ,           7 ,          24 ,           3 ,  0.252999991     ,   2.95556639E-03 ,   17.6879997     ,  -1.52001953     ,   32.3568764     ,   24.5426044     ,   73.0674591     ,   16.5285397     ,  -5.58776855E-02 ,   0.00000000     ,   0.00000000     ,   16.4726620     ,  0.192932189     ,   1.38840401     ,  -1.15946007     ,   1.46414185     ,  -32.3568764     ,  -24.5426044     ,  -56.5947952     ,   83.7799072     ,   29.4799995     ,  0.201586694     ,   29.2784138     ,  0.102427490     ,   18.2626171     ,  0.508106411     ,  0.609397233     ,   1.45429134     ,   5.86643791    
   205.125000     ,           7 ,          24 ,           4 ,  0.252999991     ,   3.87032330E-03 ,   21.9360008     ,  -1.52001953     ,   31.8757858     ,   23.9989529     ,   76.2907181     ,   20.5430050     ,  -5.67321777E-02 ,   0.00000000     ,   0.00000000     ,   20.4862728     ,  0.194455951     ,   1.34669733     ,  -1.39299583     ,   1.46328735     ,  -31.8757858     ,  -23.9989529     ,  -55.8044434     ,   83.1107864     ,   36.5600014     ,  0.286389887     ,   36.2736130     ,  0.155304536     ,   22.6702576     ,  0.542283595     ,  0.610433280     ,   1.62357211     ,   5.89399195    
   205.166672     ,           7 ,          24 ,           5 ,  0.252999991     ,   4.73621674E-03 ,   29.7180004     ,  -3.04000854     ,   26.0661392     ,   19.4713631     ,   72.2154999     ,   27.8265514     , -0.115264893     ,   0.00000000     ,   0.00000000     ,   27.7112865     ,  0.195981875     ,   1.29761815     ,  -1.89144897     ,   2.92474365     ,  -26.0661392     ,  -19.4713631     ,  -44.5042114     ,   82.5771637     ,   49.5299988     ,  0.851289749     ,   48.6787071     ,  0.487741292     ,   30.4306507     ,  0.572943926     ,  0.610357583     ,   1.80884230     ,   5.94591999    
   205.208328     ,           7 ,          24 ,           6 ,  0.252999991     ,   4.73621674E-03 ,   40.3320007     ,  -3.79998779     ,   18.2484207     ,   15.3414288     ,   0.00000000     ,   37.8034554     , -0.145904541     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.197215855     ,   1.24418318     ,  -2.52854538     ,   3.65408325     ,  -18.2484207     ,  -15.3414288     ,   0.00000000     ,   82.5771637     ,   67.2200012     ,   1.54551923     ,   65.6744843     ,  0.926239014     ,   41.0776024     ,  0.599306047     ,  0.610519707     ,   1.99046969     ,   5.98295069    
   205.250000     ,           7 ,          24 ,           7 ,  0.252999991     ,   5.60400449E-03 ,   77.1240005     ,  -13.0499878     ,   4.79336786     ,   3.50614190     ,   72.3735199     ,   71.4596634     , -0.501037598     ,   0.00000000     ,   0.00000000     ,   70.9586258     ,  0.197215855     ,   1.18976188     ,  -5.66433716     ,   12.5489502     ,  -4.79336786     ,  -3.50614190     ,  -1.41489410     ,   82.5601959     ,   128.539993     ,   10.5605240     ,   117.979469     ,   6.49227047     ,   72.9073563     ,  0.614767849     ,  0.602713704     ,   2.19574523     ,   6.15642357    
   205.291672     ,           7 ,          24 ,           8 ,  0.263000011     ,   6.86367508E-03 ,   125.946007     ,  -28.3500061     ,   4.51005554     ,   2.95049596     ,   105.056549     ,   114.922897     ,  -1.08889771     ,   0.00000000     ,   0.00000000     ,   113.834000     ,  0.197255343     ,   1.13796115     ,  -11.0231094     ,   27.2611084     ,  -4.51005554     ,  -2.95049596     ,   8.77745056     ,   82.6654434     ,   209.910004     ,   38.1445732     ,   171.765427     ,   23.7105560     ,   103.981552     ,  0.621597111     ,  0.589607358     ,   2.42599416     ,   6.44905663    
   205.333328     ,           7 ,          24 ,           9 ,  0.263000011     ,   6.86367508E-03 ,   99.0540009     ,  -32.0099792     ,   4.72723818     ,   3.55588698     ,   0.00000000     ,   90.2914200     ,  -1.22637939     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.197010651     ,   1.09247303     ,  -8.76258087     ,   30.7835999     ,  -4.72723818     ,  -3.55588698     ,   0.00000000     ,   82.6654434     ,   165.089996     ,   34.7981453     ,   130.291855     ,   21.9573212     ,   78.3664856     ,  0.630991161     ,  0.585591316     ,   2.57639527     ,   6.52974176    
   205.375000     ,           7 ,          24 ,          10 ,  0.263000011     ,   8.71708710E-03 ,   174.054001     ,  -26.3399963     ,   4.49600697     ,   2.36455321     ,   154.574554     ,   159.926071     ,  -1.00918579     ,   0.00000000     ,   0.00000000     ,   158.916885     ,  0.197010651     ,   1.05683231     ,  -14.1279297     ,   25.3308105     ,  -4.49600697     ,  -2.36455321     ,   4.34233093     ,   82.7175064     ,   290.089996     ,   50.6718140     ,   239.418182     ,   32.5962982     ,   145.099335     ,  0.643282652     ,  0.590354800     ,   2.63504720     ,   6.42396784    
