days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse
   202.000000     ,           7 ,          20 ,           1 ,  0.100000001     ,   0.00000000     ,   33.1500015     ,  -65.6000061     ,   34.1322365     ,  -7.33577585     ,   0.00000000     ,   54.9255066     ,  -3.85885620     ,   0.00000000     ,  -0.00000000     ,   51.0666504     ,  0.244978666     ,   1.42987859     ,   21.7755051     ,   61.7411499     ,  -34.1322365     ,   7.33577585     ,   51.0666504     ,   100.612312     ,   110.500000     ,   22.2107601     ,   88.2892380     ,   9.36789989     ,   51.6604424     ,  0.421773046     ,  0.559197724     ,   1.21616220     ,   5.86065912    
   202.041672     ,           7 ,          20 ,           2 ,   9.89999995E-02 ,   0.00000000     ,   10.0380001     ,  -64.7100067     ,   38.1544762     ,  -5.10213137     ,   0.00000000     ,   16.4924564     ,  -3.76293945     ,   0.00000000     ,  -0.00000000     ,   12.7295170     ,  0.243546188     ,   1.41003811     ,   6.45445633     ,   60.9470673     ,  -38.1544762     ,   5.10213137     ,   12.7295170     ,   100.764946     ,   33.4599991     ,   7.76735830     ,   25.6926403     ,   3.41891050     ,   14.9060402     ,  0.440163881     ,  0.554246545     ,   1.31017148     ,   5.91902304    
   202.083328     ,           7 ,          20 ,           3 ,   9.53999981E-02 ,   0.00000000     ,   12.5580006     ,  -65.1100159     ,   40.5949593     ,  -6.38872671     ,   0.00000000     ,   20.5027409     ,  -3.77542114     ,   0.00000000     ,  -0.00000000     ,   16.7273197     ,  0.243191659     ,   1.37834096     ,   7.94474030     ,   61.3345947     ,  -40.5949593     ,   6.38872671     ,   16.7273197     ,   100.965515     ,   41.8600006     ,   11.5915508     ,   30.2684498     ,   5.39453840     ,   17.3862858     ,  0.465385377     ,  0.548205435     ,   1.45814323     ,   6.02586699    
   202.125000     ,           7 ,          20 ,           4 ,   9.96000022E-02 ,   0.00000000     ,   21.3690014     ,  -65.4300079     ,   38.3756638     ,  -6.80985498     ,   0.00000000     ,   34.9493675     ,  -3.77978516     ,   0.00000000     ,  -0.00000000     ,   31.1695824     ,  0.242727324     ,   1.33673108     ,   13.5803661     ,   61.6502228     ,  -38.3756638     ,   6.80985498     ,   31.1695824     ,   101.339249     ,   71.2300034     ,   22.4210835     ,   48.8089180     ,   11.0410624     ,   27.7915688     ,  0.492441088     ,  0.542994797     ,   1.63533795     ,   6.11358786    
   202.166672     ,           7 ,          20 ,           5 ,   9.27000046E-02 ,   0.00000000     ,   30.1800003     ,  -64.6000061     ,   36.6151695     ,  -6.55917168     ,   0.00000000     ,   49.8031464     ,  -3.70593262     ,   0.00000000     ,  -0.00000000     ,   46.0972137     ,  0.241866723     ,   1.28774345     ,   19.6231461     ,   60.8940735     ,  -36.6151695     ,   6.55917168     ,   46.0972137     ,   101.891975     ,   100.599998     ,   33.8432922     ,   66.7567062     ,   17.5491657     ,   37.7876625     ,  0.518541932     ,  0.539640665     ,   1.81977248     ,   6.15479374    
   202.208328     ,           7 ,          20 ,           6 ,   9.49999988E-02 ,   3.61034108E-05 ,   38.9490013     ,  -64.7799835     ,   36.2737732     ,  -7.43176651     ,   3.01102448     ,   64.8439178     ,  -3.67837524     ,   0.00000000     ,  -0.00000000     ,   61.1655426     ,  0.240604863     ,   1.23438036     ,   25.8949165     ,   61.1016083     ,  -36.2737732     ,   7.43176651     ,   58.1545181     ,   102.589272     ,   129.830002     ,   46.1633530     ,   83.6666489     ,   24.9710827     ,   47.0777168     ,  0.540928721     ,  0.536355257     ,   2.00230098     ,   6.18347359    
   202.250000     ,           7 ,          20 ,           7 ,  0.100500003     ,   8.86554990E-05 ,   42.5580025     ,  -64.7800140     ,   36.2181015     ,  -9.61324596     ,   4.38284397     ,   71.4303055     ,  -3.63131714     ,   0.00000000     ,  -0.00000000     ,   67.7989883     ,  0.239031255     ,   1.18000114     ,   28.8723030     ,   61.1486969     ,  -36.2181015     ,   9.61324596     ,   63.4161453     ,   103.349655     ,   141.860001     ,   52.5596008     ,   89.3003998     ,   29.3971024     ,   49.9699059     ,  0.559309840     ,  0.533416092     ,   2.17065525     ,   6.19658852    
   202.291672     ,           7 ,          20 ,           8 ,   8.92999992E-02 ,   7.42910895E-04 ,   81.1920090     ,  -48.5899963     ,   33.3931503     ,  -11.4302645     ,   54.5648994     ,   139.584839     ,  -2.68600464     ,   0.00000000     ,  -0.00000000     ,   136.898834     ,  0.237338141     ,   1.12820959     ,   58.3928299     ,   45.9039917     ,  -33.3931503     ,   11.4302645     ,   82.3339386     ,   104.336876     ,   270.640015     ,   76.4063568     ,   194.233658     ,   44.5792274     ,   110.515045     ,  0.583449185     ,  0.543759108     ,   2.24508309     ,   5.95526505    
   202.333328     ,           7 ,          20 ,           9 ,   8.61000046E-02 ,   1.80250301E-03 ,   93.5879974     ,  -25.7599792     ,   36.1218948     ,  -15.5799313     ,   88.3699799     ,   164.781952     ,  -1.39862061     ,   0.00000000     ,  -0.00000000     ,   163.383331     ,  0.235174745     ,   1.08270311     ,   71.1939545     ,   24.3613586     ,  -36.1218948     ,   15.5799313     ,   75.0133514     ,   105.236313     ,   311.959991     ,   47.3093872     ,   264.650604     ,   28.7479572     ,   154.343109     ,  0.607658625     ,  0.559266090     ,   2.24710035     ,   5.60698318    
   202.375000     ,           7 ,          20 ,          10 ,   9.18000042E-02 ,   2.86347466E-03 ,   76.9079971     ,  -7.82000732     ,   33.9918442     ,  -14.5947895     ,   88.4850464     ,   137.497330     , -0.417724609     ,   0.00000000     ,  -0.00000000     ,   137.079605     ,  0.233237147     ,   1.04702961     ,   60.5893326     ,   7.40228271     ,  -33.9918442     ,   14.5947895     ,   48.5945587     ,   105.818985     ,   256.359985     ,   11.8760977     ,   244.483887     ,   7.43261290     ,   145.342194     ,  0.625846386     ,  0.571600556     ,   2.23020649     ,   5.32735682    
   202.416672     ,           7 ,          20 ,          11 ,   9.51000005E-02 ,   3.85187147E-03 ,   65.7240067     ,  -3.32998657     ,   36.0690269     ,  -16.0307522     ,   82.4322891     ,   117.792664     , -0.176025391     ,   0.00000000     ,  -0.00000000     ,   117.616638     ,  0.231998578     ,   1.02422595     ,   52.0686569     ,   3.15396118     ,  -36.0690269     ,   16.0307522     ,   35.1843491     ,   106.240860     ,   219.080002     ,   4.36409807     ,   214.715897     ,   2.76263952     ,   128.118103     ,  0.633037925     ,  0.574175656     ,   2.24710226     ,   5.24859047    
   202.458328     ,           7 ,          20 ,          12 ,  0.101999998     ,   4.96684620E-03 ,   77.2649994     ,  -3.19000244     ,   33.6461334     ,  -14.7322302     ,   92.9888992     ,   138.329910     , -0.167388916     ,   0.00000000     ,  -0.00000000     ,   138.162521     ,  0.231109843     ,   1.01637590     ,   61.0649109     ,   3.02261353     ,  -33.6461334     ,   14.7322302     ,   45.1736221     ,   106.782509     ,   257.549988     ,   4.91280603     ,   252.637177     ,   3.11639071     ,   150.583511     ,  0.634340286     ,  0.573678434     ,   2.25674677     ,   5.23568201    
   202.500000     ,           7 ,          20 ,          13 ,  0.102800004     ,   6.26985636E-03 ,   98.8830032     ,  -7.17999268     ,   31.9698563     ,  -15.0018291     ,   108.671036     ,   176.153671     , -0.373138428     ,   0.00000000     ,  -0.00000000     ,   175.780533     ,  0.229978561     ,   1.02422595     ,   77.2706680     ,   6.80685425     ,  -31.9698563     ,   15.0018291     ,   67.1094971     ,   107.587181     ,   329.609985     ,   14.0174284     ,   315.592560     ,   8.82455158     ,   186.901749     ,  0.629541397     ,  0.569873631     ,   2.25520849     ,   5.27763939    
   202.541672     ,           7 ,          20 ,          14 ,  0.110600002     ,   7.68375443E-03 ,   136.941010     ,  -34.8499756     ,   33.7338142     ,  -17.9057484     ,   117.919098     ,   237.675888     ,  -1.78533936     ,   0.00000000     ,  -0.00000000     ,   235.890549     ,  0.228317857     ,   1.04702961     ,   100.734879     ,   33.0646362     ,  -33.7338142     ,   17.9057484     ,   117.971451     ,   109.001709     ,   456.470001     ,   92.5118408     ,   363.958160     ,   56.1859627     ,   207.898346     ,  0.607338071     ,  0.548062444     ,   2.32880759     ,   5.63579607    
   202.583328     ,           7 ,          20 ,          15 ,  0.110500000     ,   9.22784302E-03 ,   173.877014     ,  -57.1799927     ,   37.4150848     ,  -25.3351250     ,   128.776978     ,   293.878448     ,  -2.85754395     ,   0.00000000     ,  -0.00000000     ,   291.020905     ,  0.225454956     ,   1.08270311     ,   120.001434     ,   54.3224487     ,  -37.4150848     ,   25.3351250     ,   162.243927     ,   110.947083     ,   579.590027     ,   191.212570     ,   388.377472     ,   111.680634     ,   214.850983     ,  0.584065318     ,  0.529698372     ,   2.32735538     ,   5.89371300    
   202.625000     ,           7 ,          20 ,          16 ,  0.110500000     ,   1.03267459E-02 ,   115.701012     ,  -41.0000000     ,   36.6545715     ,  -19.7070808     ,   91.6484985     ,   196.353165     ,  -1.98114014     ,   0.00000000     ,  -0.00000000     ,   194.372025     ,  0.221631035     ,   1.12820959     ,   80.6521530     ,   39.0188599     ,  -36.6545715     ,   19.7070808     ,   102.723526     ,   112.178780     ,   385.670013     ,   89.4363632     ,   296.233643     ,   51.7135048     ,   166.456680     ,  0.578215659     ,  0.539666176     ,   2.12484694     ,   5.60963249    
   202.666672     ,           7 ,          20 ,          17 ,  0.120200001     ,   1.12034464E-02 ,   79.1730042     ,  -24.3900146     ,   35.1322479     ,  -16.7983818     ,   73.1168518     ,   135.699844     ,  -1.15405273     ,   0.00000000     ,  -0.00000000     ,   134.545792     ,  0.219275251     ,   1.18000102     ,   56.5268402     ,   23.2359619     ,  -35.1322479     ,   16.7983818     ,   61.4289398     ,   112.915337     ,   263.910004     ,   35.5904427     ,   228.319565     ,   20.2392387     ,   130.538361     ,  0.568670630     ,  0.550465226     ,   1.92267597     ,   5.35391998    
   202.708328     ,           7 ,          20 ,          18 ,  0.121600002     ,   1.18121030E-02 ,   37.5060005     ,  -3.41000366     ,   32.5806656     ,  -15.9147005     ,   50.7619667     ,   65.7407684     , -0.159332275     ,   0.00000000     ,  -0.00000000     ,   65.5814362     ,  0.217889875     ,   1.23438036     ,   28.2347679     ,   3.25067139     ,  -32.5806656     ,   15.9147005     ,   14.8194695     ,   113.093025     ,   125.019997     ,   2.28655410     ,   122.733444     ,   1.27285552     ,   71.7724457     ,  0.556669772     ,  0.564429164     ,   1.71332812     ,   5.07004881    
   202.750000     ,           7 ,          20 ,          19 ,  0.118600003     ,   1.24892471E-02 ,   44.7119980     ,  -2.36001587     ,   31.3812675     ,  -17.2594433     ,   56.4738007     ,   78.4160309     , -0.109954834     ,   0.00000000     ,  -0.00000000     ,   78.3060760     ,  0.217558235     ,   1.28774345     ,   33.7040329     ,   2.25006104     ,  -31.3812675     ,   17.2594433     ,   21.8322754     ,   113.354805     ,   149.039993     ,   1.78982496     ,   147.250168     ,  0.949424446     ,   86.1795044     ,  0.530456603     ,  0.564992309     ,   1.56619155     ,   5.05162668    
