days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse
   195.000000     ,           7 ,          14 ,           1 ,  0.103000000     ,   0.00000000     ,   54.6705971     ,  -67.1900177     ,   39.1069412     ,   6.82443476     ,   0.00000000     ,   62.9349518     ,  -3.00750732     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.213179439     ,   1.40948308     ,   8.26435471     ,   64.1825104     ,  -39.1069412     ,  -6.82443476     ,   0.00000000     ,   117.800003     ,   143.869995     ,   30.5313454     ,   113.338646     ,   7.13882303     ,   62.7889023     ,  0.233819470     ,  0.533094525     ,   1.99130964     ,   5.38518906    
   195.041672     ,           7 ,          14 ,           2 ,  0.103000000     ,   0.00000000     ,   37.6427994     ,  -66.7100067     ,   41.1202621     ,   11.5652723     ,   0.00000000     ,   42.7999916     ,  -2.98605347     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.213179439     ,   1.38975763     ,   5.15719223     ,   63.7239532     ,  -41.1202621     ,  -11.5652723     ,   0.00000000     ,   117.800003     ,   99.0599976     ,   23.3821335     ,   75.6778641     ,   5.85043573     ,   41.7051086     ,  0.250209659     ,  0.530051827     ,   2.12975311     ,   5.43751812    
   195.083328     ,           7 ,          14 ,           3 ,  0.103000000     ,   0.00000000     ,   17.9245987     ,  -62.0899811     ,   28.8368511     ,   9.69628906     ,   0.00000000     ,   20.4491749     ,  -2.77923584     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.213179439     ,   1.35822821     ,   2.52457619     ,   59.3107452     ,  -28.8368511     ,  -9.69628906     ,   0.00000000     ,   117.800003     ,   47.1699982     ,   11.6696014     ,   35.5003967     ,   3.20665908     ,   19.5146465     ,  0.274787366     ,  0.528601825     ,   2.32819796     ,   5.46245623    
   195.125000     ,           7 ,          14 ,           4 ,  0.103000000     ,   0.00000000     ,   23.7500000     ,  -52.6300049     ,   19.5641174     ,   6.66969442     ,   0.00000000     ,   27.7984333     ,  -2.35577393     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.213179439     ,   1.31680822     ,   4.04843330     ,   50.2742310     ,  -19.5641174     ,  -6.66969442     ,   0.00000000     ,   117.800003     ,   62.5000000     ,   14.5180674     ,   47.9819336     ,   4.42295837     ,   26.4641914     ,  0.304652005     ,  0.530530870     ,   2.55188417     ,   5.42927933    
   195.166672     ,           7 ,          14 ,           5 ,  0.103000000     ,   0.00000000     ,   34.9524002     ,  -38.8999939     ,   30.7259331     ,   10.8409700     ,   0.00000000     ,   42.8371239     ,  -1.74124146     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.213179439     ,   1.26799965     ,   7.88472366     ,   37.1587524     ,  -30.7259331     ,  -10.8409700     ,   0.00000000     ,   117.800003     ,   91.9800034     ,   16.7929630     ,   75.1870422     ,   5.67176294     ,   41.9250412     ,  0.337746412     ,  0.536880136     ,   2.76376033     ,   5.32008219    
   195.208328     ,           7 ,          14 ,           6 ,  0.103000000     ,   5.85751492E-04 ,   37.6427994     ,  -22.1300049     ,   27.6419010     ,   5.69697618     ,   48.8516693     ,   48.6338234     , -0.990570068     ,   0.00000000     ,   0.00000000     ,   47.6432533     ,  0.213179439     ,   1.21477556     ,   10.9910240     ,   21.1394348     ,  -27.6419010     ,  -5.69697618     ,  -1.20841599     ,   117.785515     ,   99.0599976     ,   10.7383976     ,   88.3216019     ,   3.98945045     ,   50.0481300     ,  0.371512651     ,  0.546352029     ,   2.94148898     ,   5.15718126    
   195.250000     ,           7 ,          14 ,           7 ,  0.103000000     ,   1.29882805E-03 ,   48.8451958     ,  -19.0900269     ,   26.0246983     ,   3.69072056     ,   59.4705887     ,   63.7882271     , -0.854675293     ,   0.00000000     ,   0.00000000     ,   62.9335518     ,  0.213204876     ,   1.16047537     ,   14.9430313     ,   18.2353516     ,  -26.0246983     ,  -3.69072056     ,   3.46296310     ,   117.827034     ,   128.539993     ,   12.4627104     ,   116.077286     ,   4.93495512     ,   65.9408569     ,  0.395977676     ,  0.547832906     ,   3.14931202     ,   5.13237476    
   195.291672     ,           7 ,          14 ,           8 ,  0.103000000     ,   2.34725093E-03 ,   90.0713959     ,  -31.7799988     ,   26.0757942     ,   3.07129622     ,   87.4384842     ,   114.145805     ,  -1.42187500     ,   0.00000000     ,   0.00000000     ,   112.723930     ,  0.213131994     ,   1.10869682     ,   24.0744095     ,   30.3581238     ,  -26.0757942     ,  -3.07129622     ,   25.2854462     ,   118.130219     ,   237.029999     ,   38.7265167     ,   198.303482     ,   15.7969275     ,   111.031746     ,  0.407909840     ,  0.539295554     ,   3.41343927     ,   5.27728081    
   195.333328     ,           7 ,          14 ,           9 ,  0.103000000     ,   3.42746591E-03 ,   113.821396     ,  -49.0899963     ,   22.5547142     ,   2.80381632     ,   90.0899353     ,   138.337631     ,  -2.18560791     ,   0.00000000     ,   0.00000000     ,   136.152023     ,  0.212601349     ,   1.06314802     ,   24.5162354     ,   46.9043884     ,  -22.5547142     ,  -2.80381632     ,   46.0620880     ,   118.682518     ,   299.529999     ,   76.7804031     ,   222.749588     ,   31.6212425     ,   122.087234     ,  0.411840022     ,  0.527034283     ,   3.68168330     ,   5.47365332    
   195.375000     ,           7 ,          14 ,          10 ,  0.103000000     ,   4.63418849E-03 ,   124.126999     ,  -50.4799805     ,   23.8261089     ,   3.16753197     ,   100.640663     ,   150.461990     ,  -2.22753906     ,   0.00000000     ,   0.00000000     ,   148.234451     ,  0.211641327     ,   1.02740347     ,   26.3349915     ,   48.2524414     ,  -23.8261089     ,  -3.16753197     ,   47.5937881     ,   119.253189     ,   326.649994     ,   87.9051590     ,   238.744843     ,   36.9044037     ,   130.275589     ,  0.419820696     ,  0.524694741     ,   3.81468582     ,   5.48750210    
