days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   113.916008     ,  -70.9799957     ,   70.8983688     ,   13.0073414     ,   0.00000000     ,   74.9040680     ,  -1.30950928     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.39071524     ,  -39.0119400     ,   69.6704865     ,  -70.8983688     ,  -13.0073414     ,   0.00000000     ,   186.000000     ,   189.860001     ,   47.6490974     ,   142.210907     ,   16.9148884     ,   66.3118591     ,  0.354988635     ,  0.456261009     ,   1.00007319     ,   4.25608873     ,   63.6882401    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   97.6440048     ,  -67.8699951     ,   70.1530304     ,   15.8998823     ,   0.00000000     ,   64.6183624     ,  -1.25210571     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.37108982     ,  -33.0256424     ,   66.6178894     ,  -70.1530304     ,  -15.8998823     ,   0.00000000     ,   186.000000     ,   162.740005     ,   42.0658455     ,   120.674164     ,   15.6338320     ,   56.1643448     ,  0.371651441     ,  0.455373734     ,   1.05889952     ,   4.26733637     ,   53.9380531    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   89.1480026     ,  -69.1300049     ,   74.2108688     ,   15.9640656     ,   0.00000000     ,   59.1462746     ,  -1.27539062     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.33970547     ,  -30.0017281     ,   67.8546143     ,  -74.2108688     ,  -15.9640656     ,   0.00000000     ,   186.000000     ,   148.580002     ,   42.7980003     ,   105.782005     ,   16.8472576     ,   48.8708305     ,  0.393645912     ,  0.451883584     ,   1.15211546     ,   4.31157875     ,   46.9192810    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   93.0420074     ,  -69.1200104     ,   72.4295273     ,   14.5889597     ,   0.00000000     ,   62.3466225     ,  -1.27517700     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.29844832     ,  -30.6953850     ,   67.8448334     ,  -72.4295273     ,  -14.5889597     ,   0.00000000     ,   186.000000     ,   155.070007     ,   48.1345825     ,   106.935425     ,   20.1473942     ,   49.1266327     ,  0.418563813     ,  0.449243873     ,   1.26463187     ,   4.34504080     ,   47.1538048    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   96.9360046     ,  -69.1899872     ,   83.5892410     ,   19.0051746     ,   0.00000000     ,   65.7802734     ,  -1.27648926     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.24979055     ,  -31.1557312     ,   67.9134979     ,  -83.5892410     ,  -19.0051746     ,   0.00000000     ,   186.000000     ,   161.559998     ,   53.4164085     ,   108.143585     ,   23.6609745     ,   49.4282227     ,  0.442953289     ,  0.446856230     ,   1.38754880     ,   4.37530708     ,   47.4331055    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   113.208000     ,  -70.0099945     ,   78.6811905     ,   16.4491329     ,   0.00000000     ,   77.8367386     ,  -1.29159546     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.19667864     ,  -35.3712616     ,   68.7183990     ,  -78.6811905     ,  -16.4491329     ,   0.00000000     ,   186.000000     ,   188.679993     ,   65.9639587     ,   122.716034     ,   30.6664448     ,   55.8188248     ,  0.464896977     ,  0.444615543     ,   1.51231003     ,   4.40371037     ,   53.5548630    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   138.678009     ,  -71.6699982     ,   75.7889557     ,   13.8754330     ,   0.00000000     ,   96.5793457     ,  -1.32223511     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.14243412     ,  -42.0986633     ,   70.3477631     ,  -75.7889557     ,  -13.8754330     ,   0.00000000     ,   186.000000     ,   231.130005     ,   84.2661591     ,   146.863846     ,   40.7625198     ,   66.5478668     ,  0.483735353     ,  0.442847490     ,   1.63031805     ,   4.42612362     ,   63.8384094    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   164.147995     ,  -72.5000000     ,   70.7929688     ,   6.01754713     ,   0.00000000     ,   115.674316     ,  -1.33755493     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.09064984     ,  -48.4736786     ,   71.1624451     ,  -70.7929688     ,  -6.01754713     ,   0.00000000     ,   186.000000     ,   273.579987     ,   101.927132     ,   171.652847     ,   50.9054298     ,   77.6215897     ,  0.499429643     ,  0.441904783     ,   1.73362935     ,   4.43807316     ,   74.4548035    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   205.188019     ,  -73.9499817     ,   66.7435455     ,  0.276021987     ,   0.00000000     ,   145.821503     ,  -1.36428833     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.04504490     ,  -59.3665161     ,   72.5856934     ,  -66.7435455     , -0.276021987     ,   0.00000000     ,   186.000000     ,   341.980011     ,   132.759506     ,   209.220505     ,   67.7933960     ,   94.2305069     ,  0.510648131     ,  0.440058231     ,   1.82371640     ,   4.46148014     ,   90.3706436    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   2.77656247E-03 ,   244.811996     ,  -77.4699860     ,   63.3625832     ,  0.860711157     ,   231.565308     ,   174.834442     ,  -1.42922974     ,   0.00000000     ,   0.00000000     ,   173.405212     ,  0.136247396     ,   1.00922012     ,  -69.9775543     ,   76.0407562     ,  -63.3625832     , -0.860711157     ,  -58.1600952     ,   185.302643     ,   408.019989     ,   171.106888     ,   236.913101     ,   88.4127884     ,   105.847702     ,  0.516710877     ,  0.436380506     ,   1.90155101     ,   4.50810051     ,   101.476944    
