days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   81.6398010     ,  -70.9799957     ,   63.2962112     ,   6.51496029     ,   0.00000000     ,   74.5738297     ,  -1.30950928     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.39071524     ,  -7.06597137     ,   69.6704865     ,  -63.2962112     ,  -6.51496029     ,   0.00000000     ,   186.000000     ,   189.860001     ,   49.3740425     ,   140.485962     ,   17.5001984     ,   65.3596115     ,  0.354441285     ,  0.455188364     ,   1.00162745     ,   4.26968622     ,   62.7678185    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   69.9782028     ,  -67.8699951     ,   63.1100769     ,   9.88557339     ,   0.00000000     ,   64.3500977     ,  -1.25210571     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.37108982     ,  -5.62810516     ,   66.6178894     ,  -63.1100769     ,  -9.88557339     ,   0.00000000     ,   186.000000     ,   162.740005     ,   43.5886574     ,   119.151352     ,   16.1737175     ,   55.3263893     ,  0.371053368     ,  0.454268992     ,   1.06069517     ,   4.28134060     ,   53.1281929    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   63.8894005     ,  -69.1300049     ,   66.6170349     ,   9.55710697     ,   0.00000000     ,   58.9072189     ,  -1.27539062     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.33970547     ,  -4.98218155     ,   67.8546143     ,  -66.6170349     ,  -9.55710697     ,   0.00000000     ,   186.000000     ,   148.580002     ,   44.3586311     ,   104.221367     ,   17.4295044     ,   48.0229645     ,  0.392922491     ,  0.450643510     ,   1.15447211     ,   4.32729816     ,   46.1002083    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   66.6801071     ,  -69.1200104     ,   65.1076584     ,   8.54644394     ,   0.00000000     ,   62.1194572     ,  -1.27517700     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.29844832     ,  -4.56064987     ,   67.8448334     ,  -65.1076584     ,  -8.54644394     ,   0.00000000     ,   186.000000     ,   155.070007     ,   49.8962402     ,   105.173767     ,   20.8427620     ,   48.1788559     ,  0.417722106     ,  0.447902620     ,   1.26764953     ,   4.36204290     ,   46.2385292    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   69.4708023     ,  -69.1899872     ,   74.8975372     ,   11.6910000     ,   0.00000000     ,   65.5723495     ,  -1.27648926     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.24979055     ,  -3.89845276     ,   67.9134979     ,  -74.8975372     ,  -11.6910000     ,   0.00000000     ,   186.000000     ,   161.559998     ,   55.3857841     ,   106.174210     ,   24.4800606     ,   48.3781128     ,  0.441991776     ,  0.445417076     ,   1.39135623     ,   4.39355040     ,   46.4193306    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   81.1324005     ,  -70.0099945     ,   70.2511826     ,   9.39708233     ,   0.00000000     ,   77.6304626     ,  -1.29159546     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.19667864     ,  -3.50193787     ,   68.7183990     ,  -70.2511826     ,  -9.39708233     ,   0.00000000     ,   186.000000     ,   188.679993     ,   68.4049225     ,   120.275070     ,   31.7278671     ,   54.5282059     ,  0.463824332     ,  0.443088174     ,   1.51698136     ,   4.42307234     ,   52.3092804    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   99.3859024     ,  -71.6699982     ,   67.6384201     ,   7.03826761     ,   0.00000000     ,   96.3738785     ,  -1.32223511     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.14243412     ,  -3.01202393     ,   70.3477631     ,  -67.6384201     ,  -7.03826761     ,   0.00000000     ,   186.000000     ,   231.130005     ,   87.3501434     ,   143.779861     ,   42.1539803     ,   64.9281082     ,  0.482586265     ,  0.441272140     ,   1.63576913     ,   4.44609261     ,   62.2755470    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   117.639397     ,  -72.5000000     ,   62.9141197     , -0.396815538     ,   0.00000000     ,   115.481354     ,  -1.33755493     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.136247396     ,   1.09064984     ,  -2.15804291     ,   71.1624451     ,  -62.9141197     ,  0.396815538     ,   0.00000000     ,   186.000000     ,   273.579987     ,   105.617004     ,   167.962982     ,   52.6221237     ,   75.6904984     ,  0.498235345     ,  0.440312445     ,   1.73972201     ,   4.45825815     ,   72.5917892    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   147.051407     ,  -73.9499817     ,   58.5652924     ,  -6.30608416     ,   0.00000000     ,   145.623993     ,  -1.36428833     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.136247396     ,   1.04504490     ,  -1.42741394     ,   72.5856934     ,  -58.5652924     ,   6.30608416     ,   0.00000000     ,   186.000000     ,   341.980011     ,   137.600571     ,   204.379440     ,   70.0895767     ,   91.7148666     ,  0.509369791     ,  0.438386977     ,   1.83062601     ,   4.48266602     ,   87.9443207    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   1.74876559E-03 ,   175.448593     ,  -77.4699860     ,   54.0321350     ,  -6.16369820     ,   145.847046     ,   174.631561     ,  -1.42922974     ,   0.00000000     ,  -0.00000000     ,   173.202332     ,  0.136247396     ,   1.00922012     , -0.817031860     ,   76.0407562     ,  -54.0321350     ,   6.16369820     ,   27.3552856     ,   186.328003     ,   408.019989     ,   177.485855     ,   230.534134     ,   91.4550323     ,   102.580048     ,  0.515280664     ,  0.434534699     ,   1.90961206     ,   4.53149843     ,   98.3269730    
