days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   81.6398010     ,  -70.9799957     ,   70.8983688     ,   13.0073414     ,   0.00000000     ,   93.8807678     ,  -4.33367920     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.39071524     ,   12.2409668     ,   66.6463165     ,  -70.8983688     ,  -13.0073414     ,   0.00000000     ,   100.000000     ,   189.860001     ,   47.6490974     ,   142.210907     ,   21.8280220     ,   82.4839478     ,  0.458099395     ,  0.552701712     ,   1.40377986     ,   5.98615885     ,   73.8012772    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   69.9782028     ,  -67.8699951     ,   70.1530304     ,   15.8998823     ,   0.00000000     ,   80.8388138     ,  -4.14379883     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.37108982     ,   10.8606110     ,   63.7261963     ,  -70.1530304     ,  -15.8998823     ,   0.00000000     ,   100.000000     ,   162.740005     ,   42.0658455     ,   120.674164     ,   19.9392166     ,   69.8816910     ,  0.474000156     ,  0.551724672     ,   1.48723936     ,   6.00503445     ,   62.5139465    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   63.8894005     ,  -69.1300049     ,   74.2108688     ,   15.9640656     ,   0.00000000     ,   73.8278732     ,  -4.22073364     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.33970547     ,   9.93847275     ,   64.9092712     ,  -74.2108688     ,  -15.9640656     ,   0.00000000     ,   100.000000     ,   148.580002     ,   42.7980003     ,   105.782005     ,   21.1549568     ,   60.8760185     ,  0.494297802     ,  0.547881544     ,   1.62148523     ,   6.07928371     ,   54.4175110    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   66.6801071     ,  -69.1200104     ,   72.4295273     ,   14.5889597     ,   0.00000000     ,   77.5291138     ,  -4.22009277     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.29844832     ,   10.8490067     ,   64.8999176     ,  -72.4295273     ,  -14.5889597     ,   0.00000000     ,   100.000000     ,   155.070007     ,   48.1345825     ,   106.935425     ,   24.8955212     ,   61.2479401     ,  0.517206550     ,  0.544974804     ,   1.78271306     ,   6.13544035     ,   54.7190094    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   69.4708023     ,  -69.1899872     ,   83.5892410     ,   19.0051746     ,   0.00000000     ,   81.4350281     ,  -4.22436523     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.24979055     ,   11.9642258     ,   64.9656219     ,  -83.5892410     ,  -19.0051746     ,   0.00000000     ,   100.000000     ,   161.559998     ,   53.4164085     ,   108.143585     ,   28.8104095     ,   61.6729584     ,  0.539355040     ,  0.542345643     ,   1.95887232     ,   6.18623400     ,   55.0702629    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   81.1324005     ,  -70.0099945     ,   78.6811905     ,   16.4491329     ,   0.00000000     ,   95.9173050     ,  -4.27444458     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.19667864     ,   14.7849045     ,   65.7355499     ,  -78.6811905     ,  -16.4491329     ,   0.00000000     ,   100.000000     ,   188.679993     ,   65.9639587     ,   122.716034     ,   36.8756294     ,   69.6991501     ,  0.559026957     ,  0.539878368     ,   2.13794565     ,   6.23390198     ,   62.2067375    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   99.3859024     ,  -71.6699982     ,   75.7889557     ,   13.8754330     ,   0.00000000     ,   118.497849     ,  -4.37576294     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.14243412     ,   19.1119461     ,   67.2942352     ,  -75.7889557     ,  -13.8754330     ,   0.00000000     ,   100.000000     ,   231.130005     ,   84.2661591     ,   146.863846     ,   48.5183411     ,   83.1459351     ,  0.575774908     ,  0.537931442     ,   2.30730700     ,   6.27151585     ,   74.1791840    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   117.639397     ,  -72.5000000     ,   70.7929688     ,   6.01754713     ,   0.00000000     ,   141.407669     ,  -4.42648315     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.09064984     ,   23.7682724     ,   68.0735168     ,  -70.7929688     ,  -6.01754713     ,   0.00000000     ,   100.000000     ,   273.579987     ,   101.927132     ,   171.652847     ,   60.1068726     ,   97.0127487     ,  0.589704335     ,  0.536893368     ,   2.45507765     ,   6.29156971     ,   86.5325012    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   147.051407     ,  -73.9499817     ,   66.7435455     ,  0.276021987     ,   0.00000000     ,   177.680649     ,  -4.51498413     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.249678969     ,   1.04504490     ,   30.6292419     ,   69.4349976     ,  -66.7435455     , -0.276021987     ,   0.00000000     ,   100.000000     ,   341.980011     ,   132.759506     ,   209.220505     ,   79.5775833     ,   117.845360     ,  0.599411547     ,  0.534860075     ,   2.58542252     ,   6.33085346     ,   105.071426    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   1.94486696E-03 ,   175.448593     ,  -77.4699860     ,   63.3625832     ,  0.860711157     ,   162.201904     ,   212.335251     ,  -4.72991943     ,   0.00000000     ,   0.00000000     ,   207.605331     ,  0.249678969     ,   1.00922012     ,   36.8866577     ,   72.7400665     ,  -63.3625832     , -0.860711157     ,   45.4034271     ,   100.544403     ,   408.019989     ,   171.106888     ,   236.913101     ,   103.385437     ,   132.542618     ,  0.604215503     ,  0.530810356     ,   2.70106745     ,   6.40909243     ,   118.077911    
   186.416672     ,           7 ,           5 ,          11 , -0.157000005     ,   4.23956756E-03 ,   203.338409     ,  -78.3000031     ,   63.2233849     ,   3.11623669     ,   191.378036     ,   246.361786     ,  -4.73211670     ,   0.00000000     ,   0.00000000     ,   241.629669     ,  0.248382136     ,  0.986283302     ,   43.0233765     ,   73.5678864     ,  -63.2233849     ,  -3.11623669     ,   50.2516327     ,   101.146942     ,   472.880005     ,   201.493027     ,   271.386993     ,   122.409889     ,   151.325439     ,  0.607514262     ,  0.529143810     ,   2.75371909     ,   6.40622091     ,   134.924072    
