days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   81.6398010     ,  -70.9799957     ,   70.8983688     ,   13.0073414     ,   0.00000000     ,   73.6704178     ,  -5.13000488E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.39071524     ,  -7.96938324     ,   70.9286957     ,  -70.8983688     ,  -13.0073414     ,   0.00000000     ,   186.000000     ,   189.860001     ,   47.6490974     ,   142.210907     ,   16.9148884     ,   64.9411316     ,  0.354988635     ,  0.456261009     ,   1.00007319     ,   4.25608873     ,   64.8384323    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   69.9782028     ,  -67.8699951     ,   70.1530304     ,   15.8998823     ,   0.00000000     ,   63.5698242     ,  -4.90112305E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.37108982     ,  -6.40837860     ,   67.8209839     ,  -70.1530304     ,  -15.8998823     ,   0.00000000     ,   186.000000     ,   162.740005     ,   42.0658455     ,   120.674164     ,   15.6338320     ,   54.9993057     ,  0.371651441     ,  0.455373734     ,   1.05889952     ,   4.26733637     ,   54.9121590    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   63.8894005     ,  -69.1300049     ,   74.2108688     ,   15.9640656     ,   0.00000000     ,   58.2212563     ,  -4.99267578E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.33970547     ,  -5.66814423     ,   69.0800781     ,  -74.2108688     ,  -15.9640656     ,   0.00000000     ,   186.000000     ,   148.580002     ,   42.7980003     ,   105.782005     ,   16.8472576     ,   47.8430252     ,  0.393645912     ,  0.451883584     ,   1.15211546     ,   4.31157875     ,   47.7666321    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   66.6801071     ,  -69.1200104     ,   72.4295273     ,   14.5889597     ,   0.00000000     ,   61.4070091     ,  -4.99267578E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.29844832     ,  -5.27309799     ,   69.0700836     ,  -72.4295273     ,  -14.5889597     ,   0.00000000     ,   186.000000     ,   155.070007     ,   48.1345825     ,   106.935425     ,   20.1473942     ,   48.0826149     ,  0.418563813     ,  0.449243873     ,   1.26463187     ,   4.34504080     ,   48.0053902    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   69.4708023     ,  -69.1899872     ,   83.5892410     ,   19.0051746     ,   0.00000000     ,   64.8259277     ,  -4.99572754E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.24979055     ,  -4.64487457     ,   69.1400299     ,  -83.5892410     ,  -19.0051746     ,   0.00000000     ,   186.000000     ,   161.559998     ,   53.4164085     ,   108.143585     ,   23.6609745     ,   48.3678360     ,  0.442953289     ,  0.446856230     ,   1.38754880     ,   4.37530708     ,   48.2897377    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   81.1324005     ,  -70.0099945     ,   78.6811905     ,   16.4491329     ,   0.00000000     ,   76.7494049     ,  -5.05676270E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.19667864     ,  -4.38299561     ,   69.9594269     ,  -78.6811905     ,  -16.4491329     ,   0.00000000     ,   186.000000     ,   188.679993     ,   65.9639587     ,   122.716034     ,   30.6664448     ,   54.6106758     ,  0.464896977     ,  0.444615543     ,   1.51231003     ,   4.40371037     ,   54.5220528    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   99.3859024     ,  -71.6699982     ,   75.7889557     ,   13.8754330     ,   0.00000000     ,   95.2739105     ,  -5.17883301E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.14243412     ,  -4.11199188     ,   71.6182098     ,  -75.7889557     ,  -13.8754330     ,   0.00000000     ,   186.000000     ,   231.130005     ,   84.2661591     ,   146.863846     ,   40.7625198     ,   65.0973816     ,  0.483735353     ,  0.442847490     ,   1.63031805     ,   4.42612362     ,   64.9913177    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   117.639397     ,  -72.5000000     ,   70.7929688     ,   6.01754713     ,   0.00000000     ,   114.145943     ,  -5.23681641E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.09064984     ,  -3.49345398     ,   72.4476318     ,  -70.7929688     ,  -6.01754713     ,   0.00000000     ,   186.000000     ,   273.579987     ,   101.927132     ,   171.652847     ,   50.9054298     ,   75.9234009     ,  0.499429643     ,  0.441904783     ,   1.73362935     ,   4.43807316     ,   75.7994385    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   147.051407     ,  -73.9499817     ,   66.7435455     ,  0.276021987     ,   0.00000000     ,   143.952484     ,  -5.34057617E-02 ,   0.00000000     ,   0.00000000     ,   0.00000000     ,   2.68752482E-02 ,   1.04504490     ,  -3.09892273     ,   73.8965759     ,  -66.7435455     , -0.276021987     ,   0.00000000     ,   186.000000     ,   341.980011     ,   132.759506     ,   209.220505     ,   67.7933960     ,   92.1538086     ,  0.510648131     ,  0.440058231     ,   1.82371640     ,   4.46148014     ,   92.0027161    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   1.94486696E-03 ,   175.448593     ,  -77.4699860     ,   63.3625832     ,  0.860711157     ,   162.201904     ,   172.704117     ,  -5.59692383E-02 ,   0.00000000     ,   0.00000000     ,   172.648148     ,   2.68752482E-02 ,   1.00922012     ,  -2.74447632     ,   77.4140167     ,  -63.3625832     , -0.860711157     ,   10.4462433     ,   186.125259     ,   408.019989     ,   171.106888     ,   236.913101     ,   88.4127884     ,   103.480682     ,  0.516710877     ,  0.436380506     ,   1.90155101     ,   4.50810051     ,   103.309593    
