days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   81.6398010     ,  -70.9799957     ,   70.8983688     ,   13.0073414     ,   0.00000000     ,   52.9478645     ,  -1.30950928     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.39071524     ,  -28.6919365     ,   69.6704865     ,  -70.8983688     ,  -13.0073414     ,   0.00000000     ,   186.000000     ,   189.860001     ,   189.860001     ,   0.00000000     ,   58.8309631     ,   0.00000000     ,  0.309864968     ,  0.367828429     ,   1.12821412     ,   5.37708902     ,   0.00000000    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   69.9782028     ,  -67.8699951     ,   70.1530304     ,   15.8998823     ,   0.00000000     ,   47.4926872     ,  -1.25210571     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.37108982     ,  -22.4855156     ,   66.6178894     ,  -70.1530304     ,  -15.8998823     ,   0.00000000     ,   186.000000     ,   162.740005     ,   162.740005     ,   0.00000000     ,   52.7696533     ,   0.00000000     ,  0.324257404     ,  0.367828429     ,   1.20118797     ,   5.37708902     ,   0.00000000    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   63.8894005     ,  -69.1300049     ,   74.2108688     ,   15.9640656     ,   0.00000000     ,   46.0820999     ,  -1.27539062     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.33970547     ,  -17.8073006     ,   67.8546143     ,  -74.2108688     ,  -15.9640656     ,   0.00000000     ,   186.000000     ,   148.580002     ,   148.580002     ,   0.00000000     ,   51.2023354     ,   0.00000000     ,  0.344611228     ,  0.367828429     ,   1.31185257     ,   5.37708902     ,   0.00000000    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   66.6801071     ,  -69.1200104     ,   72.4295273     ,   14.5889597     ,   0.00000000     ,   51.2853432     ,  -1.27517700     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.29844832     ,  -15.3947639     ,   67.8448334     ,  -72.4295273     ,  -14.5889597     ,   0.00000000     ,   186.000000     ,   155.070007     ,   155.070007     ,   0.00000000     ,   56.9837151     ,   0.00000000     ,  0.367470890     ,  0.367828429     ,   1.44780934     ,   5.37708902     ,   0.00000000    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   69.4708023     ,  -69.1899872     ,   83.5892410     ,   19.0051746     ,   0.00000000     ,   56.7299995     ,  -1.27648926     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.24979055     ,  -12.7408028     ,   67.9134979     ,  -83.5892410     ,  -19.0051746     ,   0.00000000     ,   186.000000     ,   161.559998     ,   161.559998     ,   0.00000000     ,   63.0333328     ,   0.00000000     ,  0.390154332     ,  0.367828429     ,   1.59662664     ,   5.37708902     ,   0.00000000    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   81.1324005     ,  -70.0099945     ,   78.6811905     ,   16.4491329     ,   0.00000000     ,   69.7879105     ,  -1.29159546     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.19667864     ,  -11.3444901     ,   68.7183990     ,  -78.6811905     ,  -16.4491329     ,   0.00000000     ,   186.000000     ,   188.679993     ,   188.679993     ,   0.00000000     ,   77.5421219     ,   0.00000000     ,  0.410971612     ,  0.367828429     ,   1.74715447     ,   5.37708902     ,   0.00000000    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   99.3859024     ,  -71.6699982     ,   75.7889557     ,   13.8754330     ,   0.00000000     ,   89.2422943     ,  -1.32223511     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.14243412     ,  -10.1436081     ,   70.3477631     ,  -75.7889557     ,  -13.8754330     ,   0.00000000     ,   186.000000     ,   231.130005     ,   231.130005     ,   0.00000000     ,   99.1581116     ,   0.00000000     ,  0.429014444     ,  0.367828429     ,   1.88990736     ,   5.37708902     ,   0.00000000    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   117.639397     ,  -72.5000000     ,   70.7929688     ,   6.01754713     ,   0.00000000     ,   109.290703     ,  -1.33755493     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.09064984     ,  -8.34869385     ,   71.1624451     ,  -70.7929688     ,  -6.01754713     ,   0.00000000     ,   186.000000     ,   273.579987     ,   273.579987     ,   0.00000000     ,   121.434120     ,   0.00000000     ,  0.443870634     ,  0.367828429     ,   2.01705813     ,   5.37708902     ,   0.00000000    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   147.051407     ,  -73.9499817     ,   66.7435455     ,  0.276021987     ,   0.00000000     ,   140.164093     ,  -1.36428833     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,   1.04504490     ,  -6.88731384     ,   72.5856934     ,  -66.7435455     , -0.276021987     ,   0.00000000     ,   186.000000     ,   341.980011     ,   341.980011     ,   0.00000000     ,   155.737885     ,   0.00000000     ,  0.455400527     ,  0.367828429     ,   2.12233567     ,   5.37708902     ,   0.00000000    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   1.94486696E-03 ,   175.448593     ,  -77.4699860     ,   63.3625832     ,  0.860711157     ,   162.201904     ,   170.239975     ,  -1.42922974     ,   0.00000000     ,   0.00000000     ,   168.810745     ,  0.136247396     ,   1.00922012     ,  -5.20861816     ,   76.0407562     ,  -63.3625832     , -0.860711157     ,   6.60884094     ,   186.079239     ,   408.019989     ,   408.019989     ,   0.00000000     ,   189.155533     ,   0.00000000     ,  0.463593781     ,  0.367828429     ,   2.20093393     ,   5.37708902     ,   0.00000000    
