days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   186.000000     ,           7 ,           5 ,           1 , -0.146999985     ,   0.00000000     ,   81.6398010     ,  -70.9799957     ,   70.8983688     ,   13.0073414     ,   0.00000000     ,   84.2950363     ,  -1.30950928     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.65523529     ,   69.6704865     ,  -70.8983688     ,  -13.0073414     ,   0.00000000     ,   186.000000     ,   189.860001     ,   73.5418549     ,   116.318146     ,   41.2612038     ,   52.3999519     ,  0.561057448     ,  0.440159827     ,   2.21075463     ,   4.46019268     ,   50.2540245    
   186.041672     ,           7 ,           5 ,           2 , -0.146999985     ,   0.00000000     ,   69.9782028     ,  -67.8699951     ,   70.1530304     ,   15.8998823     ,   0.00000000     ,   72.2492523     ,  -1.25210571     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.27104950     ,   66.6178894     ,  -70.1530304     ,  -15.8998823     ,   0.00000000     ,   186.000000     ,   162.740005     ,   60.2750092     ,   102.464996     ,   33.9161453     ,   46.3608017     ,  0.562690020     ,  0.442163587     ,   2.19944620     ,   4.43479300     ,   44.4704475    
   186.083328     ,           7 ,           5 ,           3 , -0.146999985     ,   0.00000000     ,   63.8894005     ,  -69.1300049     ,   74.2108688     ,   15.9640656     ,   0.00000000     ,   65.9651794     ,  -1.27539062     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.07577896     ,   67.8546143     ,  -74.2108688     ,  -15.9640656     ,   0.00000000     ,   186.000000     ,   148.580002     ,   56.4465675     ,   92.1334381     ,   31.7101707     ,   41.5844765     ,  0.561773241     ,  0.441038340     ,   2.20579672     ,   4.44905663     ,   39.8847275    
   186.125000     ,           7 ,           5 ,           4 , -0.146999985     ,   0.00000000     ,   66.6801071     ,  -69.1200104     ,   72.4295273     ,   14.5889597     ,   0.00000000     ,   68.8469162     ,  -1.27517700     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.16680908     ,   67.8448334     ,  -72.4295273     ,  -14.5889597     ,   0.00000000     ,   186.000000     ,   155.070007     ,   59.1116257     ,   95.9583817     ,   33.2000160     ,   43.2965584     ,  0.561649501     ,  0.440886497     ,   2.20665359     ,   4.45098162     ,   41.5262451    
   186.166672     ,           7 ,           5 ,           5 , -0.146999985     ,   0.00000000     ,   69.4708023     ,  -69.1899872     ,   83.5892410     ,   19.0051746     ,   0.00000000     ,   71.7292557     ,  -1.27648926     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.25845337     ,   67.9134979     ,  -83.5892410     ,  -19.0051746     ,   0.00000000     ,   186.000000     ,   161.559998     ,   62.0862350     ,   99.4737625     ,   34.8521957     ,   44.8469772     ,  0.561351418     ,  0.440520585     ,   2.20871878     ,   4.45561934     ,   43.0118103    
   186.208328     ,           7 ,           5 ,           6 , -0.146999985     ,   0.00000000     ,   81.1324005     ,  -70.0099945     ,   78.6811905     ,   16.4491329     ,   0.00000000     ,   83.7723007     ,  -1.29159546     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   2.63990021     ,   68.7183990     ,  -78.6811905     ,  -16.4491329     ,   0.00000000     ,   186.000000     ,   188.679993     ,   73.6294174     ,   115.050575     ,   41.2898903     ,   51.7904434     ,  0.560779810     ,  0.439819038     ,   2.21267796     ,   4.46451283     ,   49.6679001    
   186.250000     ,           7 ,           5 ,           7 , -0.146999985     ,   0.00000000     ,   99.3859024     ,  -71.6699982     ,   75.7889557     ,   13.8754330     ,   0.00000000     ,   102.622383     ,  -1.32223511     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   3.23648071     ,   70.3477631     ,  -75.7889557     ,  -13.8754330     ,   0.00000000     ,   186.000000     ,   231.130005     ,   91.3555603     ,   139.774445     ,   51.1862259     ,   62.8386421     ,  0.560296774     ,  0.439226151     ,   2.21602416     ,   4.47202826     ,   60.2599754    
   186.291672     ,           7 ,           5 ,           8 , -0.146999985     ,   0.00000000     ,   117.639397     ,  -72.5000000     ,   70.7929688     ,   6.01754713     ,   0.00000000     ,   121.470528     ,  -1.33755493     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   3.83113098     ,   71.1624451     ,  -70.7929688     ,  -6.01754713     ,   0.00000000     ,   186.000000     ,   273.579987     ,   108.239922     ,   165.340057     ,   60.6424522     ,   74.3248062     ,  0.560259581     ,  0.439180493     ,   2.21628189     ,   4.47260666     ,   71.2744827    
   186.333328     ,           7 ,           5 ,           9 , -0.146999985     ,   0.00000000     ,   147.051407     ,  -73.9499817     ,   66.7435455     ,  0.276021987     ,   0.00000000     ,   151.849854     ,  -1.36428833     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136247396     ,  0.785398185     ,   4.79844666     ,   72.5856934     ,  -66.7435455     , -0.276021987     ,   0.00000000     ,   186.000000     ,   341.980011     ,   138.979034     ,   203.000977     ,   77.7205963     ,   91.0014648     ,  0.559225321     ,  0.437911063     ,   2.22344637     ,   4.48869896     ,   87.2563477    
   186.375000     ,           7 ,           5 ,          10 , -0.157000005     ,   1.94486696E-03 ,   175.448593     ,  -77.4699860     ,   63.3625832     ,  0.860711157     ,   162.201904     ,   181.211639     ,  -1.42922974     ,   0.00000000     ,   0.00000000     ,   179.782410     ,  0.136247396     ,  0.785398185     ,   5.76304626     ,   76.0407562     ,  -63.3625832     , -0.860711157     ,   17.5805054     ,   186.210800     ,   408.019989     ,   177.456177     ,   230.563812     ,   98.7510681     ,   102.595200     ,  0.556481421     ,  0.434543312     ,   2.24245310     ,   4.53138971     ,   98.3415833    
