days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse,src_diffuse_t
   152.000000     ,           6 ,           1 ,           1 , -0.362000018     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   352.681213     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.40158820     ,   176.725204     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   60.7880669     ,   348.411957     ,   46.3932762     ,   345.474762     ,  0.763197124     ,  0.820856690     ,   4.57003593     ,   19.8707561     ,   13.4586468    
   152.041672     ,           6 ,           1 ,           2 , -0.362000018     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   352.015442     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.38180518     ,   176.059433     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   66.4888382     ,   342.711182     ,   51.3318253     ,   339.796478     ,  0.772036731     ,  0.819272280     ,   4.88256311     ,   20.0740185     ,   13.2128830    
   152.083328     ,           6 ,           1 ,           3 , -0.353000015     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.681702     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.35017669     ,   189.725693     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   73.2303238     ,   335.969696     ,   73.2303238     ,   333.082703     ,   0.00000000     ,  0.817398608     ,   0.00000000     ,   20.3143864     ,   12.9233484    
   152.125000     ,           6 ,           1 ,           4 , -0.365000010     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.705353     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.30861247     ,   189.749344     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   79.3708572     ,   329.829163     ,   79.3708572     ,   326.968445     ,   0.00000000     ,  0.815691948     ,   0.00000000     ,   20.5333271     ,   12.6606579    
   152.166672     ,           6 ,           1 ,           5 , -0.365999997     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.725006     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.25961244     ,   189.768997     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   84.3213348     ,   324.878662     ,   84.3213348     ,   322.039825     ,   0.00000000     ,  0.814316034     ,   0.00000000     ,   20.7098370     ,   12.4495945    
   152.208328     ,           6 ,           1 ,           6 , -0.358000010     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.740448     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.20615053     ,   189.784439     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   88.0856781     ,   321.114349     ,   88.0856781     ,   318.292603     ,   0.00000000     ,  0.813269794     ,   0.00000000     ,   20.8440552     ,   12.2895336    
   152.250000     ,           6 ,           1 ,           7 , -0.361000001     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.751984     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.15157330     ,   189.795975     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   90.8631821     ,   318.336823     ,   90.8631821     ,   315.527924     ,   0.00000000     ,  0.812497854     ,   0.00000000     ,   20.9430885     ,   12.1716690    
   152.291672     ,           6 ,           1 ,           8 , -0.362000018     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.760468     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.09949458     ,   189.804459     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   92.8673325     ,   316.332672     ,   92.8673325     ,   313.533203     ,   0.00000000     ,  0.811940849     ,   0.00000000     ,   21.0145454     ,   12.0867491    
   152.333328     ,           6 ,           1 ,           9 , -0.356000006     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.766388     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.05364895     ,   189.810379     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   94.2699127     ,   314.930084     ,   94.2699127     ,   312.137207     ,   0.00000000     ,  0.811550975     ,   0.00000000     ,   21.0645561     ,   12.0273790    
   152.375000     ,           6 ,           1 ,          10 , -0.361000001     ,   0.00000000     ,   175.956009     ,  -35.7900085     ,   36.0206413     , -0.408473253     ,   0.00000000     ,   365.770386     ,  -34.1058044     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,   1.35212731     ,   1.01764786     ,   189.814377     ,   1.68420410     ,  -36.0206413     ,  0.408473253     ,   0.00000000     ,   10.0000000     ,   409.200012     ,   95.1935425     ,   314.006470     ,   95.1935425     ,   311.218018     ,   0.00000000     ,  0.811294317     ,   0.00000000     ,   21.0974884     ,   11.9883127    
