date,U1,WD1,T1,RH1,SWd,SWu,LWd,LWu,sh,Pa,solz,sola,SWd_slope,albedo,daily_integrated_albedo,sensor_height1,Ts,solz_slope
2017/1/1 3:00,9.4,30,-16,30,0,0,158.3,227.64,58,889.7,124.17559,332.0203,0,-9999,-9999,2.42,-21.04049,125.57547
2017/1/1 4:00,8.6,28,-14.9,29,0,0,160.25,228.34,58,889.1,125.25688,348.77541,0,-9999,-9999,2.42,-20.8551,127.69134
2017/1/1 5:00,9.4,19,-14.6,33,0,0,162.93,231.58,58,888.3,125.40896,5.70933,0,-9999,-9999,2.42,-19.9671,128.6819
2017/1/1 6:00,9.4,30,-14.4,35,0,0,164.49,233.14,58,888,124.61613,22.55002,0,-9999,-9999,2.42,-19.54434,128.43388
2017/1/1 7:00,8.2,32,-14.4,31,0,0,163.73,231.75,57,888.2,122.9571,39.0522,0,-9999,-9999,2.43,-19.92442,126.97583
2017/1/1 8:00,5.9,35,-13.3,23,0,0,161.89,227.49,57,888.5,120.58725,55.06023,0,-9999,-9999,2.43,-21.10279,124.46927
2017/1/1 9:00,5.3,50,-13.8,23,0,0,159.56,223.85,57,889.1,117.70908,70.52827,0,-9999,-9999,2.43,-22.11861,121.16358
2017/1/1 10:00,4.5,66,-14.6,23,0,0,159.88,221.81,57,889.7,114.54399,85.50122,0,-9999,-9999,2.43,-22.70267,117.34404
2017/1/1 11:00,4.3,84,-15.8,24,0,0,161.34,218.58,57,890.4,111.31232,100.07834,0,-9999,-9999,2.43,-23.64138,113.2952
2017/1/1 12:00,3.5,65,-15.6,24,0,0,170.07,218.96,57,890.7,108.22172,114.37798,0,-9999,-9999,2.43,-23.58191,109.28312
2017/1/1 13:00,2.9,53,-14.6,21,0,0,177.71,217.28,56,890.9,105.46058,128.5113,0,-9999,-9999,2.44,-24.1141,105.54975
2017/1/1 14:00,3.4,54,-13.9,21,0,0,179.31,219,56,890.9,103.19288,142.56599,0,-9999,-9999,2.44,-23.62383,102.31079
2017/1/1 15:00,4.5,56,-14,23,0,0,178.55,220.39,57,890.7,101.55256,156.59857,0,-9999,-9999,2.43,-23.21789,99.75221
2017/1/1 16:00,5.5,50,-14.2,26,0,0,182.69,224.75,57,890.4,100.63706,170.63469,0,-9999,-9999,2.43,-21.9943,98.0233
2017/1/1 17:00,5.7,48,-13.6,26,0,0,183.13,226.7,57,890.1,100.50117,184.67654,0,-9999,-9999,2.43,-21.44483,97.22734
2017/1/1 18:00,5.5,48,-12.5,26,0,0,196.57,231.04,57,889.6,101.15289,198.71586,0,-9999,-9999,2.43,-20.30399,97.41267
2017/1/1 19:00,5.6,54,-12.5,27,0,0,179.87,230.35,57,889.2,102.55283,212.74963,0,-9999,-9999,2.43,-20.40313,98.56776
2017/1/1 20:00,5.2,57,-11.7,28,0,0,184.97,233.24,57,888.7,104.61719,226.79434,0,-9999,-9999,2.43,-19.62979,100.62246
2017/1/1 21:00,4.7,49,-10.6,35,0,0,188.24,233.12,57,888.4,107.22345,240.89563,0,-9999,-9999,2.43,-19.68099,103.45468
2017/1/1 22:00,4.7,45,-10.2,42,0,0,192.15,234.75,56,888,110.21694,255.13092,0,-9999,-9999,2.44,-19.25334,106.90004
2017/1/1 23:00,4.5,49,-9.7,45,0,0,196.12,236.51,57,887.9,113.41674,269.60457,0,-9999,-9999,2.43,-18.79261,110.7604
2017/1/2 0:00,4.8,48,-10.1,48,0,0,203.59,239.02,57,887.5,116.62094,284.43453,0,-9999,-9999,2.43,-18.14967,114.80961
2017/1/2 1:00,5.2,54,-9.9,56,0,0,191.09,239.43,57,887,119.6124,299.72945,0,-9999,-9999,2.43,-17.97077,118.79603
2017/1/2 2:00,5.1,55,-10.2,59,0,0,197.11,240.69,57,886.9,122.16833,315.55614,0,-9999,-9999,2.43,-17.66277,122.44528
2017/1/2 3:00,4.3,50,-8.9,59,0,0,192.58,240.49,57,886.8,124.07722,331.90205,0,-9999,-9999,2.43,-17.69229,125.46958
2017/1/2 4:00,4.3,62,-9.2,61,0,0,191.75,241.05,57,887,125.16471,348.64816,0,-9999,-9999,2.43,-17.53681,127.59218
2017/1/2 5:00,4.6,58,-9.7,64,0,0,207.16,243.14,57,887.5,125.32387,5.5744,0,-9999,-9999,2.43,-17.05816,128.5913
2017/1/2 6:00,4.2,57,-9.7,64,0,0,258.92,252.39,58,888,124.53825,22.40981,0,-9999,-9999,2.42,-14.88537,128.35286
2017/1/2 7:00,4.6,58,-11,80,0,0,270,257.98,58,888.8,122.88576,38.90951,0,-9999,-9999,2.42,-13.49454,126.90425
2017/1/2 8:00,3.8,107,-10.6,88,0,0,270.88,262.38,58,890.1,120.52107,54.91753,0,-9999,-9999,2.42,-12.37551,124.40575
2017/1/2 9:00,3.7,124,-10.5,90,0,0,269.48,264.71,58,891.2,117.64625,70.38733,0,-9999,-9999,2.42,-11.77931,121.10593
2017/1/2 10:00,8.7,99,-12.3,88,0,0,261.8,260.55,58,892.3,114.48248,85.36313,0,-9999,-9999,2.42,-12.79473,117.28965
2017/1/2 11:00,10.5,91,-14.6,86,0,0,250.73,253.07,58,893.4,111.25012,99.94368,0,-9999,-9999,2.42,-14.66527,113.24139
2017/1/2 12:00,11.1,82,-16.5,84,0,0,243.35,246.39,58,895,108.15699,114.24706,0,-9999,-9999,2.42,-16.3841,109.22743
2017/1/2 13:00,10,87,-17.1,83,0,0,237.26,244.1,59,896.5,105.39174,128.38439,0,-9999,-9999,2.41,-16.96231,105.48999
2017/1/2 14:00,9.5,97,-17.6,82,0,0,228.53,241.5,61,898,103.1187,142.44341,0,-9999,-9999,2.39,-17.61379,102.24517
2017/1/2 15:00,7.9,97,-17.6,82,0,0,228.91,240.43,59,899.2,101.47221,156.4807,0,-9999,-9999,2.41,-17.90484,99.67939
2017/1/2 16:00,7.9,86,-17.9,77,0,0,227.02,239.3,58,900,100.55016,170.52191,0,-9999,-9999,2.42,-18.20086,97.94252
2017/1/2 17:00,9.2,94,-18.1,75,0,0,221.71,237.16,58,900.6,100.40774,184.56912,0,-9999,-9999,2.42,-18.75484,97.13835
2017/1/2 18:00,9,96,-18.3,75,0,0,216.4,236.41,58,901.3,101.05337,198.61382,0,-9999,-9999,2.42,-18.93096,97.31579
2017/1/2 19:00,9.2,97,-19.2,76,0,0,183.81,231.3,-8888,901.8,102.44793,212.65259,0,-9999,-9999,-9999,-20.16071,98.46376
2017/1/2 20:00,9.8,95,-20.5,75,0,0,154.73,225.13,-8888,902.1,104.50787,226.70151,0,-9999,-9999,-9999,-21.728,100.51243
2017/1/2 21:00,9.3,92,-21.4,74,0,0,162.09,222.55,58,902.8,107.11079,240.80573,0,-9999,-9999,2.42,-22.50362,103.33989
2017/1/2 22:00,7.7,86,-21.5,72,0,0,158.33,219.75,59,903.6,110.10209,255.04225,0,-9999,-9999,2.41,-23.28582,106.78181
2017/1/2 23:00,7,80,-21.9,71,0,0,159.57,217.26,58,904.3,113.30093,269.51507,0,-9999,-9999,2.42,-24.0143,110.64011
2017/1/3 0:00,7.2,80,-22.1,70,0,0,158.85,216.55,58,904.5,116.50546,284.34183,0,-9999,-9999,2.42,-24.21694,114.68865
2017/1/3 1:00,6.6,85,-22.3,69,0,0,158.14,214.45,58,905,119.49864,299.63112,0,-9999,-9999,2.42,-24.82753,118.6759
2017/1/3 2:00,6.3,89,-22.7,70,0,0,163.55,213.03,61,905.4,122.05779,315.44997,0,-9999,-9999,2.39,-25.27777,122.32769
2017/1/3 3:00,7,96,-22.8,72,0,0,173.42,215.79,58,905.6,123.97141,331.78659,0,-9999,-9999,2.42,-24.52416,125.35645
2017/1/3 4:00,6.8,94,-22.8,72,0,0,174.18,215.79,58,905.8,125.06497,348.52318,0,-9999,-9999,2.42,-24.52861,127.48558
2017/1/3 5:00,6,93,-22.5,73,0,0,202.94,219.98,58,906,125.23109,5.44111,0,-9999,-9999,2.42,-23.47702,128.49307
